accordion,archery,athletics,backing,badminton,band,banjo,baseball,basketball,bass,beat,blues,bobsleigh,bowling,boxing,canoeing,cello,choir,chord,clarinet,climbing,composition,conductor,cricket,cycling,diving,dj,drums,ensemble,equestrian,fencing,fishing,flute,football,golf,guitar,gymnastics,handball,harmonica,harmony,harp,hiking,hockey,hunting,improvisation,instrument,interval,jazz,judo,karate,kayaking,key,lacrosse,lyrics,mandolin,melody,mixer,motorsports,note,paddleboarding,paintball,paragliding,piano,pitch,pop,powerlifting,producer,rafting,rhythm,rock,rockclimbing,rowing,rugby,running,sailing,sampler,saxophone,scale,shooting,singer,skateboarding,skating,skeetshooting,skiing,skydiving,snowboarding,soccer,soloist,song,squash,surfcasting,surfing,swimming,synthesizer,tempo,trumpet,tune,ukulele,violin,vocalist
0,6,6,0,8,0,0,1,2,0,0,0,15,4,21,25,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1,0,0,7,0,42,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,1,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,1,0,0,13,0,0,1,0,1,0,0,0,0,0,0,0
3,0,0,8,0,24,0,0,0,0,0,5,0,0,0,0,0,2,1,1,1,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,20,0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,6,0,36,2,0,0,0,0,6,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,6,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
0,13,5,0,10,0,0,5,5,0,0,0,10,5,13,22,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,7,0,29,0,1,0,0,0,5,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,10,0,0,7,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
0,13,11,0,1,1,0,7,6,1,0,0,9,6,16,17,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,6,0,41,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,19,1,0,2,0,0,0,0,0,0,0,0,0
0,0,0,8,1,38,0,0,0,0,0,4,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,6,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,11,0,42,0,1,0,0,1,7,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
0,9,5,0,6,0,0,5,9,0,0,0,9,3,14,27,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,10,4,0,6,0,0,9,2,0,0,0,6,3,19,28,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,13,8,0,6,0,0,5,3,0,0,0,6,3,18,25,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
0,0,0,2,1,39,0,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,9,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,7,0,32,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,4,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,16,0,0,2,0,0,0,0,0,0,0,0,0
1,0,0,6,0,41,0,0,1,0,1,4,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,10,0,0,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,1,1,1,0,0,0,0,0,0,0
0,0,0,3,0,38,0,1,0,0,0,2,0,1,0,0,0,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,2,0,1,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,1,0,20,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,11,0,38,0,1,0,1,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,1,0,19,0,0,1,0,2,0,0,0,0,0,0,0
0,5,2,0,11,1,1,7,4,0,0,0,2,2,11,43,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
0,12,4,0,10,0,0,9,5,1,0,0,4,3,9,21,0,1,0,0,0,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,5,0,41,1,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,0,1,0,0,0,0,0,12,1,0,0,1,0,0,0,0,0,1,1,0
1,0,0,15,1,34,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,8,1,32,0,1,0,0,0,4,0,0,0,0,0,4,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11,1,0,1,0,0,0,0,1,0,0,0,0,0,0,8,1,0,1,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,1,26,1,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,24,0,0,0,0,1,1,2,0,0,0,0,0
0,8,9,0,5,0,0,10,4,0,0,0,9,5,16,24,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,4,1,39,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,14,1,0,0,0,1,0,0,0,0,0,0,0
0,0,0,4,0,30,0,0,1,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,2,0,1,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,20,0,0,0,0,1,1,0,0,0,0,0,0
0,0,0,7,0,35,1,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1,0,0,0,1,0
0,0,1,4,1,35,0,0,0,0,0,5,2,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,16,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,8,0,37,0,1,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
0,9,7,0,5,0,0,5,4,0,0,0,9,1,22,27,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,6,7,0,9,0,0,5,8,0,0,0,10,6,13,23,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
0,0,0,4,0,38,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,21,0,0,2,0,1,0,0,0,0,0,0,0
0,10,6,0,5,0,0,3,3,0,0,0,10,3,14,29,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,4,1,28,0,0,0,0,1,5,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,12,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,1,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,16,0,0,0,1,2,1,0,0,0,0,1,0
0,0,0,7,0,40,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,1,0,22,1,0,0,0,1,0,0,0,1,0,0,0
0,11,6,0,6,1,0,8,1,0,0,0,10,6,11,25,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,6,5,0,9,0,0,10,4,0,0,0,5,7,19,21,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,0,0,8,0,40,0,0,0,0,0,4,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
0,7,6,0,3,0,0,6,4,0,0,0,7,2,20,25,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
0,0,0,6,1,40,1,1,0,0,0,2,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,2,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0
1,10,9,0,6,0,0,2,5,1,0,0,5,5,14,30,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,11,1,34,0,0,0,0,0,5,0,1,1,0,0,2,1,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,16,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,7,0,36,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,1,0,19,1,0,0,0,1,0,0,0,0,0,0,0
0,10,7,0,10,0,0,6,2,1,0,0,2,3,11,29,1,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,0,13,0,37,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,4,0,35,1,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,23,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,4,0,39,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,14,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,20,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,10,0,27,0,1,0,0,0,3,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,10,0,0,0,0,1,0,0,0,1,1,0,0,0,0,10,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4,0,35,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,13,0,0,0,0,1,0,0,0,0,0,0,0
0,5,9,0,12,0,0,7,4,0,0,0,8,3,16,25,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,0,0,6,1,41,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5,0,37,0,0,0,0,0,2,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,24,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,5,0,40,0,0,0,0,0,3,1,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,11,0,31,0,1,0,0,0,4,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,14,0,0,0,0,1,0,0,0,1,0,0,0
